"DDLatitude"	"DDLongitude"	"OccurrenceTableName"	"OccurrenceID"	"Taxon"	"OccurrenceDate"	"Habitat"	"LocationName"	"LocationDetails"	"CoordinateUncertaintyDistance"	"CoordinateUncertaintyUnit"	"GeoreferenceRemarks"	"Country"	"StateProvince"	"EORank"	"Collector"	"PhenologyNotes"	"Notes"
"31.15819"	"-85.29640"	"MortonGapAnalysis_Quercus_arkanasana"	"77"	"Quercus arkansana"	1/1/1998 0:00:00		"Houston"	"Houston County; Alabama; USA"			"NA"	"United States"	"Alabama"				
"32.34611"	"-84.02160"	"MortonGapAnalysis_Quercus_arkanasana"	"76"	"Quercus arkansana"	1/1/1999 0:00:00		"Macon"	"Montezuma Bluffs State Natural Area; Macon County; GA"			"NA"	"United States"	"Georgia"				
"33.03306"	"-92.54080"	"MortonGapAnalysis_Quercus_arkanasana"	"75"	"Quercus arkansana"	1/1/2000 0:00:00		"Union"	"MCNAB; Union County ; AR; US"			"NA"	"United States"	"Arkansas"				
"36.04778"	"-93.16528"	"ARNaturalHeritage"	"744"	"Neviusia alabamensis"	5/23/1986 0:00:00			"NEAR BUFFALO RIVER NEAR HIGHWAY 7 BRIDGE NORTH OF JASPER."	0.03	"km"		"United States"	"Arkansas"				
"35.54917"	"-93.15083"	"ARNaturalHeritage"	"743"	"Neviusia alabamensis"	9/26/1987 0:00:00	"HIGH ON RUBBLY STEEP HILLSIDE ABOVE CREEK, UPSTREAM FROM CAMPGROUND."		"LONG POOL REC AREA ON BIG PINEY CR."	0.03	"km"		"United States"	"Arkansas"				"MANY LG PATCHES IN IMMEDIATE AREA BUT NOT SEEN ELSEWHERE."
"35.88681"	"-92.90295"	"ARNaturalHeritage"	"742"	"Neviusia alabamensis"	7/9/2008 0:00:00			"THE POPULATION IS ON BOTH SIDES OF FS RD 1201 JUST NE OF DICKEY JUNCTION, ROUND HILL, AND STACK ROCK AND APPROX. 3 MI S OF EULA. IT IS JUST BEFORE YOU LEAVE FS PROPERTY AND ENTER PRIVATE PROPERTY ON FSR 1201."	0.03	"km"		"United States"	"Arkansas"				"2008: APPROXIMATELY ONE ACRE.  SHADY. NEAR CREEK. HAD EVIDENCE OF FLOWERS THIS SPRING."
"36.33614"	"-92.69002"	"ARNaturalHeritage"	"741"	"Neviusia alabamensis"	4/30/1992 0:00:00			"ALONG BANK OF JIMMY CREEK; CA. 1 MI UP JIMMY CREEK FROM THE POINT WHERE QUARRY MT. RD. CROSSES JIMMY CREEK (ALSO 50 YDS BELOW THE MERGING OF ONWATA CREEK AND JIMMY CREEK). ~4 AIR MI W OF FAIRVIEW. ~1 MI FROM ARM OF BULL SHOALS LAKE."	0.03	"km"		"United States"	"Arkansas"				"1992: SPECIMEN COLLECTED."
"35.85806"	"-93.08000"	"ARNaturalHeritage"	"740"	"Neviusia alabamensis"	11/5/2001 0:00:00	"CLOSED TO MOSTLY CLOSED CANOPY WOODLAND. MOIST AND SHADY SITE, SOME PLANTS GROWING ABOVE AND BELOW A STEEP BLUFF LINE. PART OF POP. IS GROWING ON SHALLOWER SLOPE NEAR BIG CREEK."		"74E TO MT JUDEA, PASS HIGH SCH. & TAKE 1ST R. CROSS LOW H2O BRIDGE & TAKE L. BEFORE CEMETARY. GO L. AT 1ST 'Y', GO R. AT NEXT 'Y'. TAKE RD TO CAMPBELL'S HOUSE. TAKE DRIVEWAY THRU 2 GATES TO PASTURE & PARK. WALK TO SITE. PERMISSION NEEDED."	0.03	"km"		"United States"	"Arkansas"				"4-5 ACRES OF DENSE TO SCATTERED INDIVIDUALS, ABOUT 50,000 STEMS. NO FRUIT OR FLOWERS."
"33.36722"	"-93.52310"	"MortonGapAnalysis_Quercus_arkanasana"	"74"	"Quercus arkansana"	1/1/2001 0:00:00		"Lafayette"	"BLUFF CITY; Lafayette County ; AR; US"			"NA"	"United States"	"Arkansas"				
"35.29250"	"-92.47083"	"ARNaturalHeritage"	"739"	"Neviusia alabamensis"	1/1/1925 0:00:00	"CREEK BLUFFS."		"COVE CREEK BLUFFS."			"Coordinates precise to general area only."	"United States"	"Arkansas"				"RETTIG, PELL, ET AL. SEARCHED FOR SPECIES ON 3-30, 4-2, AND 4-14-1983. ALL POTENTIAL HABITAT WAS SEARCHED, PLANT WAS NOT FOUND."
"35.12610"	"-92.54447"	"ARNaturalHeritage"	"738"	"Neviusia alabamensis"	4/19/2017 0:00:00	"SOUTHEAST-FACING SANDSTONE BLUFFS AND LEDGES (ATOKA FORMATION).  PLANTS EXTEND FROM SUB-MESIC TALUS BELOW A BLUFF TO DRY, GLADE-LIKE AREAS NEAR THE TOP OF THE BLUFF."	"CADRON CREEK"	"CADRON CREEK."	0.03	"km"		"United States"	"Arkansas"				"2017:  THOUSANDS OF STEMS OF NEVIUSIA ALABAMENSIS OCCUR IN A DENSE BAND EXTENDING ALONG A LINEAR BLUFF/ROCK OUTCROP."
"36.06115"	"-93.13943"	"ARNaturalHeritage"	"737"	"Neviusia alabamensis"	5/11/2016 0:00:00	"WOODED BUT DISTURBED UPPER RIVER BANK WITH SANDY ALLUVIUM."	"BUFFALO NATIONAL RIVER"	"BUFFALO NATIONAL RIVER, PRUITT ACCESS. S SIDE OF BUFFALO RIVER AND W OF AR HWY 7 BRIDGE. N EDGE OF PARKING LOT."	0.03	"km"		"United States"	"Arkansas"				"SCATTERED SUCKERING SHRUB TO 1.5 M TALL, FORMING COLONIES. ENCROACHED BY AGGRESSIVE NATIVE AND INVASIVE VEGETATION."
"35.14000"	"-86.35693"	"TN_NatHerit_2023"	"7367"	"Neviusia alabamensis"	4/3/1997 0:00:00	"Upland Woods"						"USA"	"TN"	"Good estimated viability"			"""STEEP, EAST-FACING SLOPE OVER SEEPING LIMESTONE JUST BELOW SHALE TALUS. OPEN WOODLAND DOMINATED BY BUCKEYE AND SUGAR MAPLE.; 1997 (C. NORDMAN): NEVIUSIA IN FLOWER, STEMS THICK ALONG UPPER SLOPE FOR 0.2 MILE. 1979: ON THE NECK OF SULLENGER BEND, OPPOSITE DERRICK BEND; STEEP, EAST-FACING SLOPE OVER SEEPING LIMESTONE JUST BELOW SHALE TALUS.; ASSOC. SPECIES (97-04-03): AESCULUS FLAVA, CELTIS OCCIDENTALIS, SYMPHORICARPUS ORBICULATUS, LONICERA JAPONICA, STAPHYLEA TRIFOLIA, BIGNONIA CAPREOLATA, OSTRYA VIRGINIANA, CARYA CAROLINAE-SEPTENTRIONALIS?, RHAMNUS CAROLINIANA, PHILADELPHUS SP., VIBURNUM RUFIDULUM, PRUNUS SEROTINA, POLYPODIUM POLYPODIOIDES, ACER SACCHARUM, HYPERICUM FRONDOSUM, DIOSCOREA SP., QUERCUS MUHLENBERGII, THALICTRUM THALICTROIDES, RHUS AROMATICA, FORESTIERA LIGUSTRINA, ROSA MULTIFLORA, QUERCUS RUBRA, MICROSTEGIUM VIMINEUM (BOTTOM), GLECOMA HEDERACEA (BOTTOM). OTHERS ON COLLECTING TRIPS: DD HORN 2 WITH PAUL SOMERS,L SMITH, T PATRICK, AND G RAMSEUR (TENN) 12APR79;SOMERS, PAUL 1871 (VDB) 16SEPT79."""
"35.14247"	"-86.35620"	"TN_NatHerit_2023"	"7366"	"Neviusia alabamensis"	4/3/1997 0:00:00	"Upland Woods"						"USA"	"TN"	"Good estimated viability"			"""STEEP, EAST-FACING SLOPE OVER SEEPING LIMESTONE JUST BELOW SHALE TALUS. OPEN WOODLAND DOMINATED BY BUCKEYE AND SUGAR MAPLE.; 1997 (C. NORDMAN): NEVIUSIA IN FLOWER, STEMS THICK ALONG UPPER SLOPE FOR 0.2 MILE. 1979: ON THE NECK OF SULLENGER BEND, OPPOSITE DERRICK BEND; STEEP, EAST-FACING SLOPE OVER SEEPING LIMESTONE JUST BELOW SHALE TALUS.; ASSOC. SPECIES (97-04-03): AESCULUS FLAVA, CELTIS OCCIDENTALIS, SYMPHORICARPUS ORBICULATUS, LONICERA JAPONICA, STAPHYLEA TRIFOLIA, BIGNONIA CAPREOLATA, OSTRYA VIRGINIANA, CARYA CAROLINAE-SEPTENTRIONALIS?, RHAMNUS CAROLINIANA, PHILADELPHUS SP., VIBURNUM RUFIDULUM, PRUNUS SEROTINA, POLYPODIUM POLYPODIOIDES, ACER SACCHARUM, HYPERICUM FRONDOSUM, DIOSCOREA SP., QUERCUS MUHLENBERGII, THALICTRUM THALICTROIDES, RHUS AROMATICA, FORESTIERA LIGUSTRINA, ROSA MULTIFLORA, QUERCUS RUBRA, MICROSTEGIUM VIMINEUM (BOTTOM), GLECOMA HEDERACEA (BOTTOM). OTHERS ON COLLECTING TRIPS: DD HORN 2 WITH PAUL SOMERS,L SMITH, T PATRICK, AND G RAMSEUR (TENN) 12APR79;SOMERS, PAUL 1871 (VDB) 16SEPT79."""
"33.73531"	"-93.66844"	"GBIF_AttritionPoints_20220503"	"730724228"	"Quercus arkansana"	8/16/1957 0:00:00		"unknown"		33550.00	"m"		"US"	"Arkansas"	"NA"	"Aileen McWilliam"		
"31.02525"	"-94.03587"	"MortonGapAnalysis_Quercus_arkanasana"	"73"	"Quercus arkansana"	1/1/2002 0:00:00		"Jasper"	"Hog Creek; S of Jct. of Hwy 255 and private forest road; Jasper County; Texas; USA (assigned point based on site directions)"			"NA"	"United States"	"Texas"				
"35.88677"	"-92.90273"	"ExpeditionData_OccurrenceFormat"	"7266"	"Neviusia alabamensis"	9/2/2022 0:00:00	"Woodland, forest and other wooded land: Notes: "	"Dickey junction, Richland Rd, Ozark national forest."	"NE side richland Rd, 600 ft SW of junction with Hoot Owl Rd., down slope"		"m"		"United States"	"Arkansas"		"Chauncey, Jared, Dan Maurer, Dee Van Huss"		"Keyword: APGA USFS Fall 2022, Accession Number: 2022-1577,  Collection Number:285; Clonal shrub colonies, arching shrubs to 6'. New stems reddish, newer woody stems redddish brown. Collected smaller divisons where possible, from clusters likely to be distinct individuals with the clonal mass. SE half of population.; "
"35.88677"	"-92.90273"	"ExpeditionData_OccurrenceFormat"	"7265"	"Neviusia alabamensis"	9/2/2022 0:00:00	"Woodland, forest and other wooded land: Notes: "	"Dickey junction, Richland Rd, Ozark national forest."	"NE side richland Rd, 600 ft SW of junction with Hoot Owl Rd., down slope"		"m"		"United States"	"Arkansas"		"Chauncey, Jared, Dan Maurer, Dee Van Huss"		"Keyword: APGA USFS Fall 2022, Accession Number: 2022-1576,  Collection Number:284; Clonal shrub colonies, arching shrubs to 6'. New stems reddish, newer woody stems redddish brown. Collected smaller divisons where possible, from clusters likely to be distinct individuals with the clonal mass. SE half of population.; "
"35.88677"	"-92.90273"	"ExpeditionData_OccurrenceFormat"	"7264"	"Neviusia alabamensis"	9/2/2022 0:00:00	"Woodland, forest and other wooded land: Notes: "	"Dickey junction, Richland Rd, Ozark national forest."	"NE side richland Rd, 600 ft SW of junction with Hoot Owl Rd., down slope"		"m"		"United States"	"Arkansas"		"Chauncey, Jared, Dan Maurer, Dee Van Huss"		"Keyword: APGA USFS Fall 2022, Accession Number: 2022-1575,  Collection Number:283; Clonal shrub colonies, arching shrubs to 6'. New stems reddish, newer woody stems redddish brown. Collected smaller divisons where possible, from clusters likely to be distinct individuals with the clonal mass. SE half of population.; "
"35.88677"	"-92.90273"	"ExpeditionData_OccurrenceFormat"	"7263"	"Neviusia alabamensis"	9/2/2022 0:00:00	"Woodland, forest and other wooded land: Notes: "	"Dickey junction, Richland Rd, Ozark national forest."	"NE side richland Rd, 600 ft SW of junction with Hoot Owl Rd., down slope"		"m"		"United States"	"Arkansas"		"Chauncey, Jared, Dan Maurer, Dee Van Huss"		"Keyword: APGA USFS Fall 2022, Accession Number: 2022-1574,  Collection Number:282; Clonal shrub colonies, arching shrubs to 6'. New stems reddish, newer woody stems redddish brown. Collected smaller divisons where possible, from clusters likely to be distinct individuals with the clonal mass. SE half of population.; "
"35.88677"	"-92.90273"	"ExpeditionData_OccurrenceFormat"	"7262"	"Neviusia alabamensis"	9/2/2022 0:00:00	"Woodland, forest and other wooded land: Notes: "	"Dickey junction, Richland Rd, Ozark national forest."	"NE side richland Rd, 600 ft SW of junction with Hoot Owl Rd., down slope"		"m"		"United States"	"Arkansas"		"Chauncey, Jared, Dan Maurer, Dee Van Huss"		"Keyword: APGA USFS Fall 2022, Accession Number: 2022-1573,  Collection Number:281; Clonal shrub colonies, arching shrubs to 6'. New stems reddish, newer woody stems redddish brown. Collected smaller divisons where possible, from clusters likely to be distinct individuals with the clonal mass. SE half of population.; "
"35.88677"	"-92.90273"	"ExpeditionData_OccurrenceFormat"	"7261"	"Neviusia alabamensis"	9/2/2022 0:00:00	"Woodland, forest and other wooded land: Notes: "	"Dickey junction, Richland Rd, Ozark national forest."	"NE side richland Rd, 600 ft SW of junction with Hoot Owl Rd., down slope"		"m"		"United States"	"Arkansas"		"Chauncey, Jared, Dan Maurer, Dee Van Huss"		"Keyword: APGA USFS Fall 2022, Accession Number: 2022-1572,  Collection Number:280; Clonal shrub colonies, arching shrubs to 6'. New stems reddish, newer woody stems redddish brown. Collected smaller divisons where possible, from clusters likely to be distinct individuals with the clonal mass. SE half of population.; "
"35.88677"	"-92.90273"	"ExpeditionData_OccurrenceFormat"	"7260"	"Neviusia alabamensis"	9/2/2022 0:00:00	"Woodland, forest and other wooded land: Notes: "	"Dickey junction, Richland Rd, Ozark national forest."	"NE side richland Rd, 600 ft SW of junction with Hoot Owl Rd., down slope"		"m"		"United States"	"Arkansas"		"Chauncey, Jared, Dan Maurer, Dee Van Huss"		"Keyword: APGA USFS Fall 2022, Accession Number: 2022-1571,  Collection Number:279; Clonal shrub colonies, arching shrubs to 6'. New stems reddish, newer woody stems redddish brown. Collected smaller divisons where possible, from clusters likely to be distinct individuals with the clonal mass. SE half of population.; "
"35.88677"	"-92.90273"	"ExpeditionData_OccurrenceFormat"	"7259"	"Neviusia alabamensis"	9/2/2022 0:00:00	"Woodland, forest and other wooded land: Notes: "	"Dickey junction, Richland Rd, Ozark national forest."	"NE side richland Rd, 600 ft SW of junction with Hoot Owl Rd., down slope"		"m"		"United States"	"Arkansas"		"Chauncey, Jared, Dan Maurer, Dee Van Huss"		"Keyword: APGA USFS Fall 2022, Accession Number: 2022-1570,  Collection Number:278; Clonal shrub colonies, arching shrubs to 6'. New stems reddish, newer woody stems redddish brown. Collected smaller divisons where possible, from clusters likely to be distinct individuals with the clonal mass. SE half of population.; "
"35.88677"	"-92.90273"	"ExpeditionData_OccurrenceFormat"	"7258"	"Neviusia alabamensis"	9/2/2022 0:00:00	"Woodland, forest and other wooded land: Notes: "	"Dickey junction, Richland Rd, Ozark national forest."	"NE side richland Rd, 600 ft SW of junction with Hoot Owl Rd., down slope"		"m"		"United States"	"Arkansas"		"Chauncey, Jared, Dan Maurer, Dee Van Huss"		"Keyword: APGA USFS Fall 2022, Accession Number: 2022-1569,  Collection Number:277; Clonal shrub colonies, arching shrubs to 6'. New stems reddish, newer woody stems redddish brown. Collected smaller divisons where possible, from clusters likely to be distinct individuals with the clonal mass. SE half of population.; "
"35.88677"	"-92.90273"	"ExpeditionData_OccurrenceFormat"	"7257"	"Neviusia alabamensis"	9/2/2022 0:00:00	"Woodland, forest and other wooded land: Notes: "	"Dickey junction, Richland Rd, Ozark national forest."	"NE side richland Rd, 600 ft SW of junction with Hoot Owl Rd., down slope"		"m"		"United States"	"Arkansas"		"Chauncey, Jared, Dan Maurer, Dee Van Huss"		"Keyword: APGA USFS Fall 2022, Accession Number: 2022-1568,  Collection Number:276; Clonal shrub colonies, arching shrubs to 6'. New stems reddish, newer woody stems redddish brown. Collected smaller divisons where possible, from clusters likely to be distinct individuals with the clonal mass. SE half of population.; "
"35.88677"	"-92.90273"	"ExpeditionData_OccurrenceFormat"	"7256"	"Neviusia alabamensis"	9/2/2022 0:00:00	"Woodland, forest and other wooded land: Notes: "	"Dickey junction, Richland Rd, Ozark national forest."	"NE side richland Rd, 600 ft SW of junction with Hoot Owl Rd., down slope"		"m"		"United States"	"Arkansas"		"Chauncey, Jared, Dan Maurer, Dee Van Huss"		"Keyword: APGA USFS Fall 2022, Accession Number: 2022-1567,  Collection Number:275; Clonal shrub colonies, arching shrubs to 6'. New stems reddish, newer woody stems redddish brown. Collected smaller divisons where possible, from clusters likely to be distinct individuals with the clonal mass. SE half of population.; "
"35.88677"	"-92.90273"	"ExpeditionData_OccurrenceFormat"	"7255"	"Neviusia alabamensis"	9/2/2022 0:00:00	"Woodland, forest and other wooded land: Notes: "	"Dickey junction, Richland Rd, Ozark national forest."	"NE side richland Rd, 600 ft SW of junction with Hoot Owl Rd., down slope"		"m"		"United States"	"Arkansas"		"Chauncey, Jared, Dan Maurer, Dee Van Huss"		"Keyword: APGA USFS Fall 2022, Accession Number: 2022-1566,  Collection Number:274; Clonal shrub colonies, arching shrubs to 6'. New stems reddish, newer woody stems redddish brown. Collected smaller divisons where possible, from clusters likely to be distinct individuals with the clonal mass. SE half of population.; "
"35.88677"	"-92.90273"	"ExpeditionData_OccurrenceFormat"	"7254"	"Neviusia alabamensis"	9/2/2022 0:00:00	"Woodland, forest and other wooded land: Notes: "	"Dickey junction, Richland Rd, Ozark national forest."	"NE side richland Rd, 600 ft SW of junction with Hoot Owl Rd., down slope"		"m"		"United States"	"Arkansas"		"Chauncey, Jared, Dan Maurer, Dee Van Huss"		"Keyword: APGA USFS Fall 2022, Accession Number: 2022-1565,  Collection Number:273; Clonal shrub colonies, arching shrubs to 6'. New stems reddish, newer woody stems redddish brown. Collected smaller divisons where possible, from clusters likely to be distinct individuals with the clonal mass. SE half of population.; "
"35.88677"	"-92.90273"	"ExpeditionData_OccurrenceFormat"	"7253"	"Neviusia alabamensis"	9/2/2022 0:00:00	"Woodland, forest and other wooded land: Notes: "	"Dickey junction, Richland Rd, Ozark national forest."	"NE side richland Rd, 600 ft SW of junction with Hoot Owl Rd., down slope"		"m"		"United States"	"Arkansas"		"Chauncey, Jared, Dan Maurer, Dee Van Huss"		"Keyword: APGA USFS Fall 2022, Accession Number: 2022-1564,  Collection Number:272; Clonal shrub colonies, arching shrubs to 6'. New stems reddish, newer woody stems redddish brown. Collected smaller divisons where possible, from clusters likely to be distinct individuals with the clonal mass. SE half of population.; "
"35.88677"	"-92.90273"	"ExpeditionData_OccurrenceFormat"	"7252"	"Neviusia alabamensis"	9/2/2022 0:00:00	"Woodland, forest and other wooded land: Notes: "	"Dickey junction, Richland Rd, Ozark national forest."	"NE side richland Rd, 600 ft SW of junction with Hoot Owl Rd., down slope"		"m"		"United States"	"Arkansas"		"Chauncey, Jared, Dan Maurer, Dee Van Huss"		"Keyword: APGA USFS Fall 2022, Accession Number: 2022-1563,  Collection Number:271; Clonal shrub colonies, arching shrubs to 6'. New stems reddish, newer woody stems redddish brown. Collected smaller divisons where possible, from clusters likely to be distinct individuals with the clonal mass. SE half of population.; "
"35.88683"	"-92.90288"	"ExpeditionData_OccurrenceFormat"	"7251"	"Neviusia alabamensis"	9/2/2022 0:00:00	"Woodland, forest and other wooded land: Notes: "	"Dickey junction, Richland Rd, Ozark national forest."	"NE side richland Rd, 600 ft SW of junction with Hoot Owl Rd., down slope"		"m"		"United States"	"Arkansas"		"Chauncey, Jared, Dan Maurer, Dee Van Huss"		"Keyword: APGA USFS Fall 2022, Accession Number: 2022-1562,  Collection Number:270; Clonal shrub colonies, arching shrubs to 6'. New stems reddish, newer woody stems redddish brown. Collected smaller divisons where possible, from clusters likely to be distinct individuals with the clonal mass. NW half of population.; "
"35.88683"	"-92.90288"	"ExpeditionData_OccurrenceFormat"	"7250"	"Neviusia alabamensis"	9/2/2022 0:00:00	"Woodland, forest and other wooded land: Notes: "	"Dickey junction, Richland Rd, Ozark national forest."	"NE side richland Rd, 600 ft SW of junction with Hoot Owl Rd., down slope"		"m"		"United States"	"Arkansas"		"Chauncey, Jared, Dan Maurer, Dee Van Huss"		"Keyword: APGA USFS Fall 2022, Accession Number: 2022-1561,  Collection Number:269; Clonal shrub colonies, arching shrubs to 6'. New stems reddish, newer woody stems redddish brown. Collected smaller divisons where possible, from clusters likely to be distinct individuals with the clonal mass. NW half of population.; "
"35.88683"	"-92.90288"	"ExpeditionData_OccurrenceFormat"	"7249"	"Neviusia alabamensis"	9/2/2022 0:00:00	"Woodland, forest and other wooded land: Notes: "	"Dickey junction, Richland Rd, Ozark national forest."	"NE side richland Rd, 600 ft SW of junction with Hoot Owl Rd., down slope"		"m"		"United States"	"Arkansas"		"Chauncey, Jared, Dan Maurer, Dee Van Huss"		"Keyword: APGA USFS Fall 2022, Accession Number: 2022-1560,  Collection Number:268; Clonal shrub colonies, arching shrubs to 6'. New stems reddish, newer woody stems redddish brown. Collected smaller divisons where possible, from clusters likely to be distinct individuals with the clonal mass. NW half of population.; "
"35.88683"	"-92.90288"	"ExpeditionData_OccurrenceFormat"	"7248"	"Neviusia alabamensis"	9/2/2022 0:00:00	"Woodland, forest and other wooded land: Notes: "	"Dickey junction, Richland Rd, Ozark national forest."	"NE side richland Rd, 600 ft SW of junction with Hoot Owl Rd., down slope"		"m"		"United States"	"Arkansas"		"Chauncey, Jared, Dan Maurer, Dee Van Huss"		"Keyword: APGA USFS Fall 2022, Accession Number: 2022-1559,  Collection Number:267; Clonal shrub colonies, arching shrubs to 6'. New stems reddish, newer woody stems redddish brown. Collected smaller divisons where possible, from clusters likely to be distinct individuals with the clonal mass. NW half of population.; "
"35.88683"	"-92.90288"	"ExpeditionData_OccurrenceFormat"	"7247"	"Neviusia alabamensis"	9/2/2022 0:00:00	"Woodland, forest and other wooded land: Notes: "	"Dickey junction, Richland Rd, Ozark national forest."	"NE side richland Rd, 600 ft SW of junction with Hoot Owl Rd., down slope"		"m"		"United States"	"Arkansas"		"Chauncey, Jared, Dan Maurer, Dee Van Huss"		"Keyword: APGA USFS Fall 2022, Accession Number: 2022-1558,  Collection Number:266; Clonal shrub colonies, arching shrubs to 6'. New stems reddish, newer woody stems redddish brown. Collected smaller divisons where possible, from clusters likely to be distinct individuals with the clonal mass. NW half of population.; "
