AccessionNumber,ExpeditionKeyword,GlobalID,Taxon,Date,CollectorName,CollectionNumber,OtherCollectors,Provenance,DescriptionOfSpecies,MaterialType,SampledPopulationSize,SampledAreaWidth,SampledAreaLength,SampledAreaUnit,NumberofIndividualsSampled,NumberofSamplesPerIndividual,SamplingMethod,NumberofVouchers,NumberofDNASpecimens,AssociatedSpecies,Country,StateProvince,CountyDistrict,CollectionLocality,LocationDetails,DDLatitude,DDLongitude,GPSAccuracy,Altitude,AltitudeUnit,GeocodeMethod,PropertyOwnershipType,PropertyContactInfo,HabitatGroup,Habitat,SoilTexture,Slope,Exposure,Aspect,PhenologyofPopulation,NotesonHabitatorSoil,OtherCollectionInformation,MotherPlantNum
,,,Aesculus parviflora,,,,,,"Woody shrub to 10' tall, tree like open form, rhizomatous loosely spreading, forming large colonies. Rhizomes running along and just under soil surface. Cylindrical panicles of white flowers, salmon anthers. Up to 20 panicles per tree. One individual in f",,,,,,,,,,,"Arisaema quinatum, Asarum arifolium, Acer Saccharum var. floridanum, Carpinus caroliniana, Carya sp, Yucca flaccida, Smilax sp., Passiflora lutea, Asarum shuttleworthii, Hepatica americana, Trillium sp., Crataegus marshallii, Aesculus pavia, Quercus bicol",United States,Alabama,Tuscaloosa,Rocky Branch public use area,"E of Rocky Branch road before you get to pay area booth, Near blue  ""caution water main sign, near ravine.",33.27562,-87.41351,,74,Meters,GPS,,,"Woodland, forest and other wooded land",,"sloping woodland of red clay alluvial soil, steep 15' ravine cut along slope bisecting population",40,Semi shade,,,"sloping woodland of red clay alluvial soil, steep 15' ravine cut along slope bisecting population",Clone E of ravine,AL-TUS-1-3
,,,Aesculus parviflora,,,,,,"Woody shrub to 10' tall, tree like open form, rhizomatous loosely spreading, forming large colonies. Rhizomes running along and just under soil surface. Cylindrical panicles of white flowers, salmon anthers. Up to 20 panicles per tree. One individual in f",,,,,,,,,,,"Arisaema quinatum, Asarum arifolium, Acer Saccharum var. floridanum, Carpinus caroliniana, Carya sp, Yucca flaccida, Smilax sp., Passiflora lutea, Asarum shuttleworthii, Hepatica americana, Trillium sp., Crataegus marshallii, Aesculus pavia, Quercus bicol",United States,Alabama,Tuscaloosa,Rocky Branch public use area,"E of Rocky Branch road before you get to pay area booth, Near blue  ""caution water main sign, near ravine.",33.27534,-87.41361,,72,Meters,GPS,,,"Woodland, forest and other wooded land",,"sloping woodland of red clay alluvial soil, steep 15' ravine cut along slope bisecting population",40,Semi shade,,,"sloping woodland of red clay alluvial soil, steep 15' ravine cut along slope bisecting population","Clone  S of ravine, contianed the single flowering individual",AL-TUS-1-1
,,,Aesculus parviflora,,,,,,"Woody shrub to 15', open treelike form, highly floriferous.Forming large rhizomatous clumps 15'x30'. In bud, one blooming, white flower, salmon anthers, faintly sweet smell.",,,,,,,,,,,"Hydrangea arborescens, Passiflora lutea, Carpinus caroliniana, Sanguinaria canadensis, Botrychium sp., Carya sp., Heuchera sp., Lindera Benzoin, Fagus grandiflora, parthenocissus quinquefolia, Quercus montana, Trillium sp. (sessile), Trillium sp. rugellii",United States,Alabama,Blount,Blount Springs,"SW of route 7, near marker 205, across from old sulfur spring",33.90708,-86.79222,,161,Meters,GPS,,,"Woodland, forest and other wooded land",,,15,Semi shade,,,,"On edge of road, flowering population up on top of ridge",AL-BLO-2-2
,,,Aesculus parviflora,,,,,,"Woody shrub to 15', open treelike form, highly floriferous.Forming large rhizomatous clumps 15'x30'. In bud, one blooming, white flower, salmon anthers, faintly sweet smell.",,,,,,,,,,,"Hydrangea arborescens, Passiflora lutea, Carpinus caroliniana, Sanguinaria canadensis, Botrychium sp., Carya sp., Heuchera sp., Lindera Benzoin, Fagus grandiflora, parthenocissus quinquefolia, Quercus montana, Trillium sp. (sessile), Trillium sp. rugellii",United States,Alabama,Blount,Blount Springs,"SW of route 7, near marker 205, across from old sulfur spring",33.93044,-86.79418,,161,Meters,GPS,,,"Woodland, forest and other wooded land",,"On edge of road, near ditch with herbicide spray damage, population potentially at risk; 10/28/17- Population mostly destroyed by herbicide spray and subsequent washout of ridge",15,Semi shade,,,"On edge of road, near ditch with herbicide spray damage, population potentially at risk; 10/28/17- Population mostly destroyed by herbicide spray and subsequent washout of ridge",,AL-BLO-2-1
,,,Aesculus parviflora,,,,,,"Woody shrub to 8' tall, tree like open form, rhizomatous, loosely spreading over large area. Cylindrical panicles of white flower buds. 10 specimens in bud in a clump, up to 8 panicles per tree. The rest of the population vegatative.",,,,,,,,,,,"Cladrastis kentukea, Halesia sp., Carya sp., Carpinus, caroliniana, Magnolia macrophylla, Liriodendron tulipifera, Acer Saccharum var. floridanum, Quercus austrina, Hexastylis sp. (asarum), Hepatica americanum, Adiantum pedatum",United States,Alabama,Tuscaloosa,Rocky Branch public use area,"N of Rocky Branch Road, within pay use area. Down steep slope, SE of Black Warrior river.",33.27936,-87.41656,,95,Meters,GPS,,,"Woodland, forest and other wooded land",,"Red clay loam. Population on mildly sloping shelf in steep slope of 60 degrees. Just S of bank of Black Warrior river. Relictual bluff woodland, with Cladastris Kentuckea.",8,Semi shade,,,"Red clay loam. Population on mildly sloping shelf in steep slope of 60 degrees. Just S of bank of Black Warrior river. Relictual bluff woodland, with Cladastris Kentuckea.",,AL-TUS-2-1
,,,Aesculus parviflora,,,,,,"Woody shrub to 8' tall, tree like open form, rhizomatous, loosely spreading over large area. Cylindrical panicles of white flower buds. 10 specimens in bud in a clump, up to 8 panicles per tree. The rest of the population vegatative.",,,,,,,,,,,"Cladrastis kentukea, Halesia sp., Carya sp., Carpinus, caroliniana, Magnolia macrophylla, Liriodendron tulipifera, Acer Saccharum var. floridanum, Quercus austrina, Hexastylis sp. (asarum), Hepatica americanum, Adiantum pedatum",United States,Alabama,Tuscaloosa,Rocky Branch public use area,"N of Rocky Branch Road, within pay use area. Down steep slope, SE of Black Warrior river.",33.27931,-87.41646,,95,Meters,GPS,,,"Woodland, forest and other wooded land",,"Red clay loam. Population on mildly sloping shelf in steep slope of 60 degrees. Just S of bank of Black Warrior river. Relictual bluff woodland, with Cladastris Kentuckea.",8,Semi shade,,,"Red clay loam. Population on mildly sloping shelf in steep slope of 60 degrees. Just S of bank of Black Warrior river. Relictual bluff woodland, with Cladastris Kentuckea.",,AL-TUS-2-2
,,,Aesculus parviflora,,,,,,"Woody shrub, densely rhizomatous, forming ground cover 1' tall, occasionally treelike to 8'. Leaf petiole reddish at procximal and distal ends.",,,,,,,,,,,"Acer saccharum, Arundaria gigantea, Carpinus caroliniana, Asarum arifolium (Hexastylis),Botrychium sp., Carya sp., Hydrangea quercifolia, maianthemum racemosum, Podophyllum peltatum",United States,Alabama,Blount,S of Blount Springs,"Beeline Highway (HWY 31), NW and SE sides of roads, into woods",33.9073,-86.83046,,136,Meters,GPS,,,"Woodland, forest and other wooded land",,Population on downward slope to spring/creek,20-Jun,Semi shade,,,Population on downward slope to spring/creek,,AL-BLO-1-1
,,,Aesculus parviflora,,,,,,"Woody shrub, densely rhizomatous, forming ground cover 1' tall, occasionally treelike to 8'. Leaf petiole reddish at proximal and distal ends.",,,,,,,,,,,"Acer saccharum, Arundaria gigantea, Carpinus caroliniana, Asarum arifolium (Hexastylis),Botrychium sp., Carya sp., Hydrangea quercifolia, maianthemum racemosum, Podophyllum peltatum",United States,Alabama,Blount,S of Blount Springs,"Beeline Highway (HWY 31), NW and SE sides of roads, into woods",33.9073,-86.83046,,140,Meters,GPS,,,"Woodland, forest and other wooded land",,,20-Jun,Semi shade,,,,Population sloping uphill,AL-BLO-1-2
,,,Aesculus parviflora,,,,,,"woody shrub, forming rhizomatous clumps",,,,,,,,,,,"Pins taeda, Cary sp.",United States,Georgia,Harris,FDR State Park,Summit of mountain,32.84456,-84.79877,,,,GPS,,,,,,,Semi shade,,,,,GA-PIN-1-1
,,,Aesculus parviflora,,,,,,"Woody shrub, rhizomatous clump. In flower bud, with long panicles of white flowers.",,,,,,,,,,,,United States,Alabama,Walker,Mulberry Fork Wildlife management area,"Just past first creek in WMA, E side of road",33.6142,-87.35768,,111,Meters,GPS,,,,,,,,,,,,Wal-2-1
,,,Aesculus parviflora,,,,,,"Woody shrub, rhizomatous clump. In flower bud, with long panicles of white flowers.",,,,,,,,,,,,United States,Alabama,Walker,Mulberry Fork Wildlife Management Area,"Just past first creek in WMA, N side of road, downslope",33.6142,-87.35768,,111,Meters,GPS,,,"Woodland, forest and other wooded land",,,,,,,,hundreds downslope,AL-WAL-2-1
,,,Aesculus parviflora,,,,,,"Woody shrub, rhizomatous clump. In flower bud, with long panicles of white flowers.",,,,,,,,,,,,United States,Alabama,Walker,Mulberry Fork Wildlife Management Area,"Just past first creek in WMA, N side of road, W side of stream",33.6142,-87.35768,,111,Meters,GPS,State,,"Woodland, forest and other wooded land",,,,,,,,,AL-WAL-2-2
,,,Aesculus parviflora,,,,,,"Woody shrub, rhizomatous clump. In flower bud, with long panicles of white flowers.",,,,,,,,,,,,United States,Alabama,Walker,Mulberry Fork Wildlife Management Area,"Just past first creek in WMA, S side of road, along ridge",33.6142,-87.35768,,111,Meters,GPS,State,,,,,,,,,,only a few along the ridge,AL-WAL-2-3
,,,Aesculus parviflora,,,,,,"woody shrub, to 4' tall, rhizomatous  forming large colonies (long panicles of white buds 7/4/2017)",,,,,,,,,,,"Carya sp., Liquidamb arstryraciflua, Quercus alba, Quercus nigra, arundinaria gigantea, Calicarpa americana, vitis sp., Goodyera pubescens, Quercus michauxii, Haxastylis arifolium, Polygonatum sp., thalictrum sp., Crataegus marshallii, Mitchelia repens, A",United States,Georgia,Harris,private property of Kathey Crye.,"Kathey Crye, private land, 706-457-9007",32.76565,-84.82475,,262,Meters,,,,"Woodland, forest and other wooded land",,"Sloped forest, population on both sides of creek",40,Semi shade,,,"Sloped forest, population on both sides of creek",No seed set found in October,GA-HAR-1-1
,,,Aesculus parviflora,,,,,,"Woody shrub, to 6 ft', Spreading loosely, open tree like form.",,,,,,,,,,,"Actaea pachypoda, Magnolia macrophylla, Quercus bicolor, Calicarpa amercana",United States,Alabama,Monroe,Haines island park (Army core of Engineers),Woods just east of Davis Ferry Rd.,30.34961,-87.46634,,30,Meters,GPS,Federal-Other,,"Woodland, forest and other wooded land",,"Steep alluvial drop off on side of road, water runoff. Low habitat of mossy rocks in moist open mesic woodland",,Semi shade,,,"Steep alluvial drop off on side of road, water runoff. Low habitat of mossy rocks in moist open mesic woodland",,AL-MONR-1-1
,,,Aesculus parviflora,,,,,,"Woody shrub, to 6', rhizomatous, loosely spreading. Specimens in sun in bud, long panicles of white buds.",,,,,,,,,,,"Liquidambar styraciflua, Trillium sp., Arisaem quinatum, Carya sp., Asarum arifolium (Hexastylis), Acer rubra, Quercus rubra, Carpinous caroliniana, Toxicodendron radicans , parthenocissus quinquefolia, Hydrangea quercifolia, Lonicera japonica, Pinus taed",United States,Alabama,Fayette,Blue Water Creek,"S of Blue Water Creek Road, and past powerline cut into the woods, down to Blue Water Creek",33.65651,-87.43331,,125,Meters,GPS,,,"Woodland, forest and other wooded land",,"sloping woodland habitat, down to blue water creek.",,Semi shade,,,"sloping woodland habitat, down to blue water creek.",,AL-FAY-1-1
,,,Aesculus parviflora,,,,,,"woody shrubs, large clonal mass (1000+). Cylindrical panicles of white flowers, salmon anthers, sweet scent.",,,,,,,,,,,"Asimina triloba, Carya sp., Carex sp., Toxicodendron sp. , Acer saccharum, Carpinus caroliniana, Actaea pachypoda, Magnolia grandiflora, Craetagus sp., Smilax sp., parthenocissus quinquefolia, campsis sp., Ulmus sp., Polystichum sp., Aesculus pavia, Arisa",United States,Alabama,Pike,Patsaliga creek,"Shady grove rd and Patsaliga creek, occuring by road and into forest 500 M",31.90805,-86.17472,,96,Meters,GPS,,,"Woodland, forest and other wooded land",,"streamside, clay loam",5,Semi shade,,,"streamside, clay loam",3 flowers found in population,AL-PIK-1-1
,,,Aesculus parviflora,,,,,,"Woody shrubs, to 10' tall, rhizomatous, loosely spreading, open clumps with open tree-like habit, leaf petiole reddish near ends.",,,,,,,,,,,"Chasmanthium latifolium, Quercus bicolor, Acer rubra, Magnolia macrophylla, Aralia spinosa, Magnolia grandiflora",United States,Alabama,Monroe,Haines island park (Army Core of Engineers),Woods just east of Davis Ferry Rd.,31.72375,-87.46884,,50,Meters,GPS,Federal-Other,,"Woodland, forest and other wooded land",,,,Semi shade,,,,,AL-MONR-1-2
,,,Aesculus parviflora,,,,,,"Woody shrubs, to 6' tall, rhizomatous, spreading. Leaf petioles green. Flowers white, salmon anthers, cylindrical panicles over 30 cm long. Flowers past peak bloom.",,,,,,,,,,,"Magnolia grandiflora, Hymenocallis sp., Arisaema triphyllum, Asplenium sp., Quercus bicolor, Pinus taeda",United States,Alabama,Monroe,Haines island park (Army Core of Engineers),Woods just east of Davis Ferry Rd.,31.72255,-87.46743,,43,Meters,GPS,,,"Woodland, forest and other wooded land",,,,Semi shade,,,,,AL-MONR-1-3
,,,Aesculus sp.,,,,,,,,,,,,,,,,,"Arisaema quinatum, Asarum arifolium, Acer Saccharum var. floridanum, Carpinus caroliniana, Carya sp, Yucca flaccida, Smilax sp., Passiflora lutea, Asarum shuttleworthii, Hepatica americana, Trillium sp., Crataegus marshallii, Aesculus pavia, Quercus bicol",United States,Alabama,Tuscaloosa,Rocky Branch public use area,,33.27581,-87.41371,,75,Meters,GPS,,,,,,,,,,,,AL-TUS-1-4
,,,Alnus maritima subsp. georgiensis,,,,,,tree 15-20 ft tall,,,,,,,,,,,"Acer rubrum, Cornus sp., Peltandra virginica, Saururus cernuus",United States,Georgia,Bartow,"Drummond Swamp, Euharlee",,33.46354,-86.54895,,181,Meters,GPS,,,"Mires, bogs and fens",,rich organic muddy soil with pooling surface water,,Semi shade,,,rich organic muddy soil with pooling surface water,Jared recorded species as Alnus maritime subsp. georgiana,GA-BAR-1-1
,,,Arisaema triphyllum,,,,,,clump of 30 small bulbs,,,,,,,,,,,"Acer saccharum var. florida, Illicium Floridanum, Rhapidophyllum hystrix, Carpinus caroliniana, Nyssa sp., Pinus glabra, Woodwardia areolata",United States,Florida,Liberty,"Apalachicola Bluffs and ravines Preserve (The Nature conservancy), Sweetwater tract east",East of county road 270,30.52579,-84.96973,,,,,The Nature Conservancy,,"Woodland, forest and other wooded land",,lightly sloping woodland near road,3,Semi shade,,,lightly sloping woodland near road,,FL-LIB-1-6
,,,Castanea pumila,,,,,,,,,,,,,,,,,"Quercus myrtifolia, Quercus laevis, Pinus palustris, Quercus hemisphaerica, Quercus margaretta, Smilax sp. Vaccinium sp., Mimosa sp., Carex sp., licania michauxii,Botrychium virginianum, sabal minor",United States,Florida,Okaloosa,Eglin Airforce Base,,30.50399,-86.72067,,22,Meters,GPS,,,,,,,,,,,"Quercus arkansana site record, but no Quercus arkansana found",FL-OKA-4-1
,,,Cladonia sp.,,,,,,gray green lichen forming small mats carpeting forest floor extensively.,,,,,,,,,,,"Quercus arkansana, Quercus myrtifolia, Pinus clausa, Magnolia grandiflora, Cornus florida, Calicarpa americana, Quercus hemisphaerica, Quercus incana, Prunus serotina, Illicium floridanum, Magnolia virginica, Sabal minor, Vaccinium arboreum, Oxydendron ar",United States,Florida,Okaloosa,Fred Gannon Rocky Bayou State Park,E side of Sandy Pine Trail,30.49754,-86.42501,,,,,,,"Woodland, forest and other wooded land",,,,Semi shade,,,,,FL-OKA-5-18
,,,Clinopodium dentatum,,,,,,"small woody shrub, to 1.5' tall. Pink flowers. Leaves have rough minty smell.",,,,,,,,,,,"Conradina glabra, Euphorbia floridana, Opuntia humifusa, Gelsimeum sempervirens, Aristida sp, Croton sp.",United States,Florida,Liberty,"Apalachicola Bluffs and ravines Preserve (The Nature conservancy), Near ABRP Head Residence",near ABRP TNC head residence,30.49259,-84.98264,,,,,The Nature Conservancy,,"Heathland, scrub and tundra",,,,Semi shade,,,,,FL-LIB-4-1
,,,Crataegus sp.,,,,,,"20ft tall tree with exfoliating grey bark that reveals cinnamon-colored inner bark. Fruits about 1cm diameter, yellow-green (many are not fully ripe). Red buds and red twigs with white lenticels.",,,,,,,,,,,"Juglans regia, Malus sieversii, Prunus, Rosa",Kyrgyzstan,,Jalal-Abad,Dashman Forestry,,41.34541,73.00471,6,1600,Meters,GPS,,,"Woodland, forest and other wooded land",,"Heavy cattle grazing,with just short grasses in understory. Juglans regia-dominated forest.",0,Semi shade,,,"Heavy cattle grazing,with just short grasses in understory. Juglans regia-dominated forest.",Two more of this species within a few feet.,417-2018-0766
,,,Dirca palustris,,,,,,"Woody shrubs to 5', single trunk. gray and brown banded bark.",,,,,,,,,,,Carpinus caroliniana,United States,Florida,Liberty,"Apalachicola Bluffs and ravines Preserve (The Nature conservancy), Sweetwater tract west",,30.55435,-84.96708,,,,,The Nature Conservancy,,"Woodland, forest and other wooded land",,sloped forest in flood plain,20,Semi shade,,,sloped forest in flood plain,,FL-LIB-2-1
,,,Euphorbia floridana,,,,,,"green to glacous, slight woody stem, slightly fleshy leave, woody taproot, milky white sap. Population in various stages of flower and fruit.",,,,,,,,,,,"Conradina glabra, Euphorbia floridana, Opuntia humifusa, Gelsimeum sempervirens, Aristida sp, Croton sp.",United States,Florida,Liberty,"Apalachicola Bluffs and ravines Preserve (The Nature conservancy), Near ABRP Head Residence",near ABRP TNC head residence,30.49259,-84.98264,,,,,The Nature Conservancy,,"Heathland, scrub and tundra",,Scrub,,Semi shade,,,Scrub,,FL-LIB-4-2
,,,Gelsemium sempervirens,,,,,,"scrambling vine on ground, rhizomatous, reddish to brown woody stems, Young leaves with red undersides.",,,,,,,,,,,"Conradina glabra, Euphorbia floridana, Opuntia humifusa, Gelsimeum sempervirens, Aristida sp, Croton sp.",United States,Florida,Liberty,"Apalachicola Bluffs and ravines Preserve (The Nature conservancy), Near ABRP Head Residence",near ABRP TNC head residence,30.49259,-84.98264,,,,,The Nature Conservancy,,"Heathland, scrub and tundra",,recently burned pine scrub,0,Semi shade,,,recently burned pine scrub,,FL-LIB-4-3
,,,Halesia carolina,,,,,,,,,,,,,,,,,"Rhapidophyllum hystrix, Magnolia grandiflora, pinus glabra, oxydenron arboreum, Ilex opaca, Ostyrya virginiana, carpinus caroliniana",United States,Florida,Liberty,"Apalachicola Bluffs and ravines Preserve (The Nature conservancy), Sweetwater tract east",East of county road 270,30.53039,-84.96387,,147,Meters,,The Nature Conservancy,,"Woodland, forest and other wooded land",,sloped forest,,Semi shade,,,sloped forest,,FL-LIB-1-1
,,,Hymenocallis caroliniana,,,,,,"Bulbous perennial, forming small clumps of 1-3 plant. Flesh dark green strap leaves.",,,,,,,,,,,"Taxodium distichum, Sabal minor, Nyssa Ogeche",United States,Florida,Liberty,"Apalachicola Bluffs and ravines Preserve (The Nature conservancy), Sweetwater tract west",,30.5534,-84.96807,,,,,The Nature Conservancy,,"Woodland, forest and other wooded land",,"organic rich wet muddy soil, full of cypress knees, Taxodium floodplain forest",,Semi shade,,,"organic rich wet muddy soil, full of cypress knees, Taxodium floodplain forest",Recorded as Hymenocallis occidentalis.,FL-LIB-2-3
